City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-9.8,-139.0333,78.13,78,15,18.1,PF,1635042357
1,souillac,-20.5167,57.5167,75.36,83,40,11.5,MU,1635042406
2,tuktoyaktuk,69.4541,-133.0374,30.2,86,90,4.61,CA,1635042408
3,zhob,31.3411,69.4481,54.82,60,0,4.45,PK,1635042411
4,mahebourg,-20.4081,57.7,75.25,83,40,11.5,MU,1635042413
5,dunedin,-45.8742,170.5036,60.8,71,87,7.0,NZ,1635042366
6,cape town,-33.9258,18.4232,55.11,75,20,6.91,ZA,1635042166
7,busselton,-33.65,115.3333,76.05,58,99,6.35,AU,1635042234
8,fuerte olimpo,-21.0415,-57.8738,72.5,95,100,15.28,PY,1635042426
9,punta arenas,-53.15,-70.9167,37.51,81,20,17.27,CL,1635042253
10,cidreira,-30.1811,-50.2056,64.92,93,100,10.18,BR,1635042430
11,laguna,38.421,-121.4238,63.05,75,90,6.91,US,1635042338
12,provideniya,64.3833,-173.3,25.07,78,100,8.25,RU,1635042435
13,rikitea,-23.1203,-134.9692,74.91,80,100,19.13,PF,1635042224
14,vao,-22.6667,167.4833,72.52,74,3,13.31,NC,1635042439
15,hermanus,-34.4187,19.2345,53.91,70,26,3.51,ZA,1635042443
16,chuy,-33.6971,-53.4616,54.63,95,56,6.87,UY,1635042446
17,gidole,5.65,37.3667,58.32,66,47,2.8,ET,1635042448
18,rockland,41.1668,-74.0496,55.65,83,100,4.9,US,1635042450
19,ust-nera,64.5667,143.2,6.37,93,86,5.3,RU,1635042453
20,mossendjo,-2.9506,12.7261,69.1,100,100,1.48,CG,1635042455
21,albany,42.6001,-73.9662,47.8,77,83,1.01,US,1635042240
22,victoria,22.2855,114.1577,74.03,71,13,1.01,HK,1635042459
23,bama,11.5221,13.6856,78.31,34,21,5.59,NG,1635042462
24,otradnoye,59.7775,30.8181,34.56,89,84,9.01,RU,1635042464
25,labuhan,-6.8844,112.2051,87.19,61,57,2.89,ID,1635042380
26,vaini,-21.2,-175.2,78.96,73,20,9.22,TO,1635042469
27,baykit,61.67,96.37,34.57,96,100,8.88,RU,1635042471
28,taoudenni,22.6783,-3.9836,81.01,22,0,7.74,ML,1635042473
29,pangnirtung,66.1451,-65.7125,23.45,85,98,5.66,CA,1635042476
30,kodiak,57.79,-152.4072,43.34,84,97,24.2,US,1635042478
31,ushuaia,-54.8,-68.3,33.46,86,75,12.66,AR,1635042226
32,egvekinot,66.3167,-179.1667,11.43,85,100,6.2,RU,1635042482
33,rio cuarto,-33.1307,-64.3499,45.84,36,0,6.85,AR,1635042485
34,fort nelson,58.8053,-122.7002,33.39,86,40,5.75,CA,1635042489
35,phuket,8.0,98.25,85.08,83,20,6.91,TH,1635042493
36,coquimbo,-29.9533,-71.3436,55.13,76,0,1.14,CL,1635042498
37,kahului,20.8947,-156.47,82.42,70,1,23.02,US,1635042431
38,tondano,1.3038,124.9112,82.49,59,100,2.15,ID,1635042502
39,zhangjiakou,40.81,114.8794,48.56,36,9,1.77,CN,1635042505
40,haines junction,60.7522,-137.5108,28.35,93,94,3.44,CA,1635042507
41,inuvik,68.3499,-133.7218,29.26,86,75,3.44,CA,1635042509
42,bambous virieux,-20.3428,57.7575,75.22,83,40,11.5,MU,1635042512
43,biak,-0.9131,122.8766,83.95,62,51,2.33,ID,1635042514
44,harwich,51.9419,1.2844,55.29,73,38,8.99,GB,1635042517
45,upernavik,72.7868,-56.1549,18.27,90,100,13.53,GL,1635042519
46,arraial do cabo,-22.9661,-42.0278,70.95,89,0,32.26,BR,1635042521
47,kapaa,22.0752,-159.319,84.18,77,40,3.0,US,1635042496
48,qasigiannguit,68.8193,-51.1922,23.25,95,100,4.74,GL,1635042526
49,fortuna,40.5982,-124.1573,58.98,90,90,1.01,US,1635042279
50,srivardhan,18.0333,73.0167,75.49,84,4,6.24,IN,1635042530
51,nanortalik,60.1432,-45.2371,35.33,68,16,21.21,GL,1635042532
52,jamestown,42.097,-79.2353,44.29,95,75,3.0,US,1635042535
53,mataura,-46.1927,168.8643,67.66,55,99,1.54,NZ,1635042537
54,faanui,-16.4833,-151.75,78.12,81,74,13.49,PF,1635042541
55,ahipara,-35.1667,173.1667,65.14,79,25,7.9,NZ,1635042544
56,qaanaaq,77.484,-69.3632,-1.07,58,0,7.78,GL,1635042275
57,san patricio,28.017,-97.5169,78.89,71,1,9.24,US,1635042396
58,cubuk,40.2386,33.0322,49.77,64,0,4.61,TR,1635042550
59,te anau,-45.4167,167.7167,55.99,85,100,1.1,NZ,1635042494
60,lasa,46.6166,10.7002,38.62,48,2,1.7,IT,1635042555
61,sistranda,63.7256,8.834,41.9,81,100,15.86,NO,1635042557
62,bluff,-46.6,168.3333,52.77,92,100,4.76,NZ,1635042559
63,saint-philippe,-21.3585,55.7679,73.22,84,40,13.91,RE,1635042563
64,salalah,17.0151,54.0924,73.49,68,0,5.75,OM,1635042568
65,sur,22.5667,59.5289,79.9,64,2,8.37,OM,1635042570
66,charters towers,-20.1,146.2667,93.52,28,46,10.76,AU,1635042336
67,sand,50.0,10.6,38.86,89,0,3.36,DE,1635042574
68,beringovskiy,63.05,179.3167,13.21,73,2,7.2,RU,1635042579
69,camana,-16.6228,-72.7111,62.01,80,88,7.87,PE,1635042581
70,araouane,18.9048,-3.5265,83.64,22,5,9.53,ML,1635042583
71,grindavik,63.8424,-22.4338,46.87,93,75,9.22,IS,1635042462
72,chapais,49.7834,-74.8492,33.58,91,100,1.14,CA,1635042588
73,avarua,-21.2078,-159.775,75.25,53,75,6.91,CK,1635042590
74,normandin,48.8333,-72.5321,37.53,72,100,6.91,CA,1635042593
75,manzhouli,49.6,117.4333,43.57,43,11,3.58,CN,1635042595
76,bredasdorp,-34.5322,20.0403,49.32,81,59,4.61,ZA,1635042597
77,hithadhoo,-0.6,73.0833,82.74,71,100,11.34,MV,1635042350
78,nizhniy kislyay,50.8497,40.1719,37.38,81,9,7.05,RU,1635042602
79,vila franca do campo,37.7167,-25.4333,64.81,84,91,6.29,PT,1635042604
80,hamilton,39.1834,-84.5333,55.42,89,90,0.0,US,1635042607
81,aitape,-3.1374,142.3475,83.26,79,100,9.24,PG,1635042610
82,hilo,19.7297,-155.09,80.33,70,20,8.05,US,1635042453
83,banda aceh,5.5577,95.3222,81.37,75,100,0.98,ID,1635042341
84,padang,-0.9492,100.3543,80.65,81,75,5.32,ID,1635042617
85,ribeira grande,38.5167,-28.7,67.08,63,64,11.14,PT,1635042619
86,sao joao da barra,-21.6403,-41.0511,72.34,90,5,22.68,BR,1635042621
87,kuytun,54.3419,101.5036,37.33,81,89,4.9,RU,1635042624
88,garoua,9.3,13.4,74.68,82,24,4.83,CM,1635042626
89,byron bay,-28.65,153.6167,94.05,52,53,11.41,AU,1635042622
90,el estor,15.5333,-89.35,76.01,96,98,0.78,GT,1635042630
91,kirakira,-10.4544,161.9205,87.08,67,7,12.86,SB,1635042554
92,puerto ayora,-0.7393,-90.3518,68.88,89,79,7.85,EC,1635042637
93,katsuura,35.1333,140.3,62.71,51,13,6.31,JP,1635042639
94,kruisfontein,-34.0033,24.7314,49.91,79,6,8.01,ZA,1635042642
95,saskylakh,71.9167,114.0833,6.58,94,100,13.65,RU,1635042644
96,korla,41.7597,86.1469,51.85,34,50,4.09,CN,1635042646
97,neumunster,54.0667,9.9833,46.38,95,100,4.0,DE,1635042648
98,husavik,66.0449,-17.3389,30.11,96,100,3.67,IS,1635042651
99,conselheiro lafaiete,-20.6603,-43.7861,61.97,96,24,1.59,BR,1635042403
100,thompson,55.7435,-97.8558,24.96,93,20,0.0,CA,1635042615
101,ostrovnoy,68.0531,39.5131,24.71,90,76,17.78,RU,1635042657
102,khatanga,71.9667,102.5,6.8,92,95,16.02,RU,1635042660
103,kaitangata,-46.2817,169.8464,58.98,70,84,6.44,NZ,1635042662
104,olinda,-8.0089,-34.8553,80.33,78,75,8.05,BR,1635042664
105,gornyak,50.9942,81.4661,42.6,54,97,21.39,RU,1635042667
106,georgetown,5.4112,100.3354,85.93,79,20,3.0,MY,1635042615
107,axim,4.8699,-2.2405,76.57,87,70,2.21,GH,1635042671
108,parana,-31.732,-60.5238,60.3,88,1,8.12,AR,1635042673
109,agirish,61.9247,63.0231,28.69,82,9,7.83,RU,1635042676
110,butaritari,3.0707,172.7902,81.21,72,40,7.81,KI,1635042678
111,new norfolk,-42.7826,147.0587,55.65,51,100,5.01,AU,1635042680
112,henties bay,-22.116,14.2845,57.85,93,23,8.75,NA,1635042494
113,pinawa,50.1489,-95.8811,34.07,76,36,3.83,CA,1635042685
114,dikson,73.5069,80.5464,9.19,86,100,15.61,RU,1635042687
115,boke,10.9409,-14.2967,74.84,95,100,1.88,GN,1635042689
116,lebu,-37.6167,-73.65,48.81,93,13,5.59,CL,1635042679
117,port lincoln,-34.7333,135.8667,60.3,59,15,11.32,AU,1635042471
118,samarai,-10.6167,150.6667,81.36,81,31,11.07,PG,1635042696
119,sabang,5.8933,95.3214,81.52,74,100,2.95,ID,1635042698
120,mineiros,-17.5694,-52.5511,75.76,63,2,12.3,BR,1635042700
121,djibo,14.1022,-1.6306,84.83,49,99,6.73,BF,1635042703
122,vostok,46.4856,135.8833,45.95,46,0,7.58,RU,1635042451
123,sucua,-2.4667,-78.1667,69.17,98,100,2.75,EC,1635042707
124,port alfred,-33.5906,26.891,56.64,72,27,13.65,ZA,1635042712
